INFO [2024-09-09 18:02:08] [MAIN] - Creating clusters_ren__2024_09_09_18_02_08 study...

INFO [2024-09-09 18:02:08] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 18:02:08] [MAIN] - Adding nodes...

INFO [2024-09-09 18:02:09] [NODES] - Adding eu-fra node...
INFO [2024-09-09 18:02:09] [MAIN] - Done adding nodes! (run time : 0.99s).

INFO [2024-09-09 18:02:09] [MAIN] - Adding districts...

INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_kahramaipp31 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_skikda43 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_spp1thermal42 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_aindjasser16 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_ravinblanc38 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_annaba17_hassimessaoud25 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_hassimessoudn27_tilghemt146_hamma224 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_boufarik119 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_fkrina22_jijel30 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_capacityscaler generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_hassimessoud26_tiaret45 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_labreg33 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_rasdjinet37 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_relizane39 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_msila136 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_arbaa18_marsat34 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_sksippsnclav41 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_skbipp40_hassimessoudo28 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_marsattg35 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add dza_gas_hadjretennous23_koudieteddraou32_terga44 generator to af-dza node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_banha8546_damiettawest8552_newgasdamiett8566 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_abusultan8541_ataka8545_october6th8570 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_arish8542 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_cairosouth8548 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_kuriemat28561 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_elseiuf8554 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_damietta8551 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_eltebeen8555 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_talkha8579 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_shoubraelkhei8576 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_shabab8574_wadihof8580_kuriematsolar8562 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_cairowest8549 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_portsaideast8573_suezgulf8578 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_newgasshabab8567 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_matrouh8564 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_kafreldawar8559_damanhour8550 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_sidikrir8577 generator to af-egy node, skipping...
