INFO [2024-08-19 14:54:23] [MAIN] - Creating Deane_EU_Agg_new__2024_08_19_14_54_23 study...

INFO [2024-08-19 14:54:23] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-08-19 14:54:24] [MAIN] - Adding nodes...

INFO [2024-08-19 14:54:26] [NODES] - Adding EU-DEU node...
INFO [2024-08-19 14:54:26] [MAIN] - Done adding nodes! (run time : 2.28s).

INFO [2024-08-19 14:54:26] [MAIN] - Adding load data...

INFO [2024-08-19 14:54:28] [LOAD] - Adding EU-DEU load data...
INFO [2024-08-19 14:54:28] [MAIN] - Done adding load data! (run time : 2.01s).

INFO [2024-08-19 14:54:28] [MAIN] - Fetching wind data...

INFO [2024-08-19 14:54:45] [WARN] - Failed to add CPV_OIL_PALMEIRAELECTR4594 generator to AF-CPV node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add CPV_OIL_PALMAREJO4593 generator to AF-CPV node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DJI_OIL_BOULAOS8506 generator to AF-DJI node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_ANNABA17 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HASSIMESSAOUD25 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_RAVINBLANC38 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_BOUFARIK119 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SPP1THERMAL42 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_MARSATTG35 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HASSIMESSOUDN27_TILGHEMT146 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HAMMA224 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_RELIZANE39 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SKBIPP40 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HASSIMESSOUDO28 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_AINDJASSER16 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SKIKDA43 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SKSIPPSNCLAV41 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_ARBAA18_MARSAT34 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_FKRINA22 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_JIJEL30 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HASSIMESSOUD26_TIARET45 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_MSILA136 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_RASDJINET37 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_KAHRAMAIPP31 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_CAPACITY SCALER generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_LABREG33 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HADJRETENNOUS23_KOUDIETEDDRAOU32_TERGA44 generator to AF-DZA node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_PORTSAID8572 generator to AF-EGY node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_MATROUH8564 generator to AF-EGY node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_ARISH8542 generator to AF-EGY node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_SHABAB8574_WADIHOF8580 generator to AF-EGY node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_KURIEMATSOLAR8562 generator to AF-EGY node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_ELSEIUF8554 generator to AF-EGY node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_KAFRELDAWAR8559 generator to AF-EGY node, skipping...
