ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SKBIPP40 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HASSIMESSOUDO28 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_AINDJASSER16 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SKIKDA43 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_SKSIPPSNCLAV41 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_ARBAA18_MARSAT34 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_FKRINA22 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_JIJEL30 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HASSIMESSOUD26_TIARET45 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_MSILA136 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_RASDJINET37 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_KAHRAMAIPP31 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_CAPACITY SCALER generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_LABREG33 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add DZA_GAS_HADJRETENNOUS23_KOUDIETEDDRAOU32_TERGA44 generator to AF-DZA node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_PORTSAID8572 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_MATROUH8564 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_ARISH8542 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_SHABAB8574_WADIHOF8580 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_KURIEMATSOLAR8562 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_ELSEIUF8554 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_KAFRELDAWAR8559 generator to AF-EGY node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add EGY_GAS_DAMANHOUR8550 generator to AF-EGY node, skipping...
