Node,Continent,Country,Geographical.region,lat,lon,coordinates_source
AS-CHN-SD,Asia,China,Shandong,36.5602062669,103.831751251,ILO
AS-CHN-SH,Asia,China,Shanghai,36.5602062669,103.831751251,ILO
AS-CHN-SI,Asia,China,Shaanxi,36.5602062669,103.831751251,ILO
AS-CHN-SX,Asia,China,Shanxi,36.5602062669,103.831751251,ILO
AS-CHN-TI,Asia,China,Tibet,36.5602062669,103.831751251,ILO
AS-CHN-TJ,Asia,China,Tianjin,36.5602062669,103.831751251,ILO
AS-CHN-WM,Asia,China,Inner Mongolia (West),36.5602062669,103.831751251,ILO
AS-CHN-XI,Asia,China,Xinjiang,36.5602062669,103.831751251,ILO
AS-CHN-YU,Asia,China,Yunnan,36.5602062669,103.831751251,ILO
AS-CHN-ZH,Asia,China,Zhejiang,36.5602062669,103.831751251,ILO
AS-IDN,Asia,Indonesia,Indonesia,-2.22275260271,117.268941687,ILO
AS-IND-EA,Asia,India,Eastern Region,22.8881002778,79.6158935763,ILO
AS-IND-NE,Asia,India,North-Eastern Region,22.8881002778,79.6158935763,ILO
AS-IND-NO,Asia,India,Northern Region,22.8881002778,79.6158935763,ILO
AS-IND-SO,Asia,India,Southern Region,22.8881002778,79.6158935763,ILO
AS-IND-WE,Asia,India,Western Region,22.8881002778,79.6158935763,ILO
AS-IRN,Asia,Iran,Iran,NA,NA,ILO
AS-IRQ,Asia,Iraq,Iraq,33.0397448476,43.7446739676,ILO
AS-ISR,Asia,Israel & Palestina,Israel & Palestina,NA,NA,ILO
AS-JOR,Asia,Jordan,Jordan,31.2455331501,36.771219291,ILO
AS-JPN-CE,Asia,Japan,Main 60Hz system (Central),37.5526225906,137.979959508,ILO
AS-JPN-HO,Asia,Japan,Hokkaido,37.5526225906,137.979959508,ILO
AS-JPN-KY,Asia,Japan,Kyushu,37.5526225906,137.979959508,ILO
AS-JPN-OK,Asia,Japan,Okinawa,37.5526225906,137.979959508,ILO
AS-JPN-SH,Asia,Japan,Shikoku,37.5526225906,137.979959508,ILO
AS-JPN-TO,Asia,Japan,Main 50Hz system (Tohoku & Tokyo),37.5526225906,137.979959508,ILO
AS-KAZ,Asia,Kazakhstan,Kazakhstan,48.1604671091,67.2955171321,ILO
AS-KGZ,Asia,Kyrgyzstan,Kyrgyzstan,41.4618305412,74.5411364681,ILO
AS-KHM,Asia,Cambodia,Cambodia,12.7158741325,104.902961879,ILO
AS-KOR,Asia,South Korea,South Korea,NA,NA,ILO
AS-KWT,Asia,Kuwait,Kuwait,29.3396377429,47.5943688371,ILO
AS-LAO,Asia,Laos,Laos,NA,NA,ILO
