Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
AS-CHN-AN;Asia;China;Anhui;Brinkerink & Deane 2015;32;117;OSM (Nominatim)
AS-CHN-BE;Asia;China;Beijing;Brinkerink & Deane 2015;40.190632;116.412144;OSM (Nominatim)
AS-CHN-CH;Asia;China;Chongqing;Brinkerink & Deane 2015;30.05518;107.8748712;OSM (Nominatim)
AS-CHN-EM;Asia;China;Inner Mongolia (East);Brinkerink & Deane 2015;49.2125235;119.7370167;"OSM ""Hulunbuir"""
AS-CHN-FU;Asia;China;Fujian;Brinkerink & Deane 2015;26.193218;118.2208721;OSM (Nominatim)
AS-CHN-GA;Asia;China;Gansu;Brinkerink & Deane 2015;38.0000001;101.9999999;OSM (Nominatim)
AS-CHN-GD;Asia;China;Guangdong;Brinkerink & Deane 2015;23.1357694;113.1982688;OSM (Nominatim)
AS-CHN-GU;Asia;China;Guizhou;Brinkerink & Deane 2015;27;107;OSM (Nominatim)
AS-CHN-GX;Asia;China;Guangxi;Brinkerink & Deane 2015;24;109;OSM (Nominatim)
AS-CHN-HA;Asia;China;Hainan;Brinkerink & Deane 2015;19.2000001;109.5999999;OSM (Nominatim)
AS-CHN-HB;Asia;China;Hebei;Brinkerink & Deane 2015;39.0000001;116;OSM (Nominatim)
AS-CHN-HE;Asia;China;Henan;Brinkerink & Deane 2015;34.0000001;113.9999999;OSM (Nominatim)
AS-CHN-HJ;Asia;China;Heilongjiang;Brinkerink & Deane 2015;48.0000047;127.999992;OSM (Nominatim)
AS-CHN-HK;Asia;China;Hong Kong;Brinkerink & Deane 2015;22.2793278;114.1628131;OSM (Nominatim)
AS-CHN-HN;Asia;China;Hunan;Brinkerink & Deane 2015;27.6662087;111.7487063;OSM (Nominatim)
AS-CHN-HU;Asia;China;Hubei;Brinkerink & Deane 2015;31.1530504;112.8806423;OSM (Nominatim)
AS-CHN-JI;Asia;China;Jilin;Brinkerink & Deane 2015;43.7289674;126.1997366;OSM (Nominatim)
AS-CHN-JS;Asia;China;Jiangsu;Brinkerink & Deane 2015;33.0000001;119.9999999;OSM (Nominatim)
AS-CHN-JX;Asia;China;Jiangxi;Brinkerink & Deane 2015;28;116;OSM (Nominatim)
AS-CHN-LI;Asia;China;Liaoning;Brinkerink & Deane 2015;41.2374106;122.9955469;OSM (Nominatim)
AS-CHN-MA;Asia;China;Macau;Brinkerink & Deane 2015;22.1757605;113.5514142;OSM (Nominatim)
AS-CHN-NI;Asia;China;Ningxia;Brinkerink & Deane 2015;37.0000001;105.9999999;OSM (Nominatim)
AS-CHN-QI;Asia;China;Qinghai;Brinkerink & Deane 2015;35.4070953;95.9521157;OSM (Nominatim)
AS-CHN-SC;Asia;China;Sichuan;Brinkerink & Deane 2015;30.5000001;102.4999999;OSM (Nominatim)
AS-CHN-SD;Asia;China;Shandong;Brinkerink & Deane 2015;36.398987;118.5055691;OSM (Nominatim)
AS-CHN-SH;Asia;China;Shanghai;Brinkerink & Deane 2015;31.2323437;121.4691024;OSM (Nominatim)
AS-CHN-SI;Asia;China;Shaanxi;Brinkerink & Deane 2015;35.5895959;109.3013107;OSM (Nominatim)
AS-CHN-SX;Asia;China;Shanxi;Brinkerink & Deane 2015;37;112;OSM (Nominatim)
AS-CHN-TI;Asia;China;Tibet;Brinkerink & Deane 2015;29.8556443;90.8749807;OSM (Nominatim)
AS-CHN-TJ;Asia;China;Tianjin;Brinkerink & Deane 2015;39.3032619;117.4163641;OSM (Nominatim)
AS-CHN-WM;Asia;China;Inner Mongolia (West);Brinkerink & Deane 2015;39.4602947;108.8134284;"OSM ""Ordos City"""
AS-CHN-XI;Asia;China;Xinjiang;Brinkerink & Deane 2015;42.4804953;85.4633464;OSM (Nominatim)
AS-CHN-YU;Asia;China;Yunnan;Brinkerink & Deane 2015;25;102;OSM (Nominatim)
AS-CHN-ZH;Asia;China;Zhejiang;Brinkerink & Deane 2015;29.0000001;119.9999999;OSM (Nominatim)
AS-IDN;Asia;Indonesia;Indonesia;Brinkerink & Deane 2015;-2.22275260271;117.268941687;ILO
AS-IND-EA;Asia;India;Eastern Region;Brinkerink & Deane 2015;22.5726459;88.3638953;"OSM ""Calcutta"""
AS-IND-NE;Asia;India;North-Eastern Region;Brinkerink & Deane 2015;25.661823;92.40172782;"OSM ""North Eastern Council, India"""
AS-IND-NO;Asia;India;Northern Region;Brinkerink & Deane 2015;29.36794425;75.14325458;"OSM ""Northern Zonal Council, India"""
AS-IND-SO;Asia;India;Southern Region;Brinkerink & Deane 2015;17.360589;78.4740613;"OSM ""Hyderabad"""
AS-IND-WE;Asia;India;Western Region;Brinkerink & Deane 2015;19.8061514;75.51904442;"OSM ""Western Zonal Council, India"""
AS-IRN;Asia;Iran;Iran;Brinkerink & Deane 2015;32.57053259;54.27711085;ILO
AS-IRQ;Asia;Iraq;Iraq;Brinkerink & Deane 2015;33.0397448476;43.7446739676;ILO
AS-ISR;Asia;Israel & Palestina;Israel & Palestina;Brinkerink & Deane 2015;31.44486066;34.99642345;ILO
AS-JOR;Asia;Jordan;Jordan;Brinkerink & Deane 2015;31.2455331501;36.771219291;ILO
AS-JPN-CE;Asia;Japan;Main 60Hz system (Central);Brinkerink & Deane 2015;35.021041;135.7556075;"OSM ""Kyoto"""
AS-JPN-HO;Asia;Japan;Hokkaido;Brinkerink & Deane 2015;43.4519831;142.8197834;OSM (Nominatim)
AS-JPN-KY;Asia;Japan;Kyushu;Brinkerink & Deane 2015;32.48214205;131.1008966;OSM (Nominatim)
AS-JPN-OK;Asia;Japan;Okinawa;Brinkerink & Deane 2015;26.5707754;128.0255901;OSM (Nominatim)
AS-JPN-SH;Asia;Japan;Shikoku;Brinkerink & Deane 2015;33.560875;133.3718857;OSM (Nominatim)
AS-JPN-TO;Asia;Japan;Main 50Hz system (Tohoku & Tokyo);Brinkerink & Deane 2015;35.6821936;139.762221;"OSM ""Tokyo"""
AS-KAZ;Asia;Kazakhstan;Kazakhstan;Brinkerink & Deane 2015;48.1604671091;67.2955171321;ILO
AS-KGZ;Asia;Kyrgyzstan;Kyrgyzstan;Brinkerink & Deane 2015;41.4618305412;74.5411364681;ILO
AS-KHM;Asia;Cambodia;Cambodia;Brinkerink & Deane 2015;12.7158741325;104.902961879;ILO
AS-KOR;Asia;South Korea;South Korea;Brinkerink & Deane 2015;36.37405058;127.8196864;ILO
AS-KWT;Asia;Kuwait;Kuwait;Brinkerink & Deane 2015;29.3396377429;47.5943688371;ILO
AS-LAO;Asia;Laos;Laos;Brinkerink & Deane 2015;18.50272546;103.737564;ILO
AS-LBN;Asia;Lebanon;Lebanon;Brinkerink & Deane 2015;33.9207881471;35.8799982721;ILO
AS-LKA;Asia;Sri Lanka;Sri Lanka;Brinkerink & Deane 2015;7.61596053702;80.7029489373;ILO
