Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
OC-NZL;Oceania;New Zealand;New Zealand;Brinkerink & Deane 2015;-41.8294535363;171.462581036;ILO
OC-PNG;Oceania;Papua New Guinea;Papua New Guinea;Brinkerink & Deane 2015;-6.47028522217;145.231212592;ILO
SA-ARG;South America;Argentina;Argentina;Brinkerink & Deane 2015;-35.3874753432;-65.1782708231;ILO
SA-BOL;South America;Bolivia;Bolivia;Brinkerink & Deane 2015;-16.7067160673;-64.6849214117;ILO
SA-BRA-CN;South America;Brazil;Center-Northern Region;Brinkerink & Deane 2015;-4.7493933;-52.8973006;"OSM ""Pará"""
SA-BRA-CW;South America;Brazil;Center-Western Region;Brinkerink & Deane 2015;-12.2115009;-55.5716547;"OSM ""Mato Grosso"""
SA-BRA-J1;South America;Brazil;Transmission Junction J1;Brinkerink & Deane 2015;-25.4295963;-49.2712724;"OSM ""Curitiba"""
SA-BRA-J2;South America;Brazil;Transmission Junction J2;Brinkerink & Deane 2015;-10.1837852;-48.3336423;"OSM ""Palmas"""
SA-BRA-J3;South America;Brazil;Transmission Junction J3;Brinkerink & Deane 2015;-3.1316333;-59.9825041;"OSM ""Manaus"""
SA-BRA-NE;South America;Brazil;North-Eastern Region;Brinkerink & Deane 2015;-12.285251;-41.9294776;"OSM ""Bahia"""
SA-BRA-NW;South America;Brazil;North-Western Region;Brinkerink & Deane 2015;-4.479925;-63.5185396;"OSM ""Amazonas"""
SA-BRA-SE;South America;Brazil;South-Eastern Region;Brinkerink & Deane 2015;-18.5264844;-44.1588654;"OSM ""Minas Gerais"""
SA-BRA-SO;South America;Brazil;Southern Region;Brinkerink & Deane 2015;-27.0628367;-51.114965;"OSM ""Santa Catarina"""
SA-BRA-WE;South America;Brazil;Western Region;Brinkerink & Deane 2015;-10.943145;-62.8277863;"OSM ""Rondônia"""
SA-CHL;South America;Chile;Chile;Brinkerink & Deane 2015;-37.7346256717;-71.3627814168;ILO
SA-COL;South America;Colombia;Colombia;Brinkerink & Deane 2015;3.90962199445;-73.0836676571;ILO
SA-ECU;South America;Ecuador;Ecuador;Brinkerink & Deane 2015;-1.42637018649;-78.7712502025;ILO
SA-GUF;South America;French Guiana;French Guiana;Brinkerink & Deane 2015;4.0039882;-52.999998;ILO
SA-GUY;South America;Guyana;Guyana;Brinkerink & Deane 2015;4.79385162798;-58.9801364944;ILO
SA-PER;South America;Peru;Peru;Brinkerink & Deane 2015;-9.15437177966;-74.3781377726;ILO
SA-PRY;South America;Paraguay;Paraguay;Brinkerink & Deane 2015;-23.2273143012;-58.3983991485;ILO
SA-SUR;South America;Suriname;Suriname;ILO;4.13105778556;-55.9111551618;ILO
SA-URY;South America;Uruguay;Uruguay;Brinkerink & Deane 2015;-32.7983956504;-56.0171416599;ILO
SA-VEN;South America;Venezuela;Venezuela;Brinkerink & Deane 2015;7.12780748878;-66.16939725;ILO
