INFO [2024-08-19 19:19:44] [MAIN] - Creating Deane_World_Agg_new__2024_08_19_19_19_44 study...

INFO [2024-08-19 19:19:44] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-08-19 19:19:44] [MAIN] - Adding nodes...

INFO [2024-08-19 19:19:46] [NODES] - Adding AF-AGO node...
INFO [2024-08-19 19:19:46] [NODES] - Adding AF-BDI node...
INFO [2024-08-19 19:19:46] [NODES] - Adding AF-BEN node...
INFO [2024-08-19 19:19:47] [NODES] - Adding AF-BFA node...
INFO [2024-08-19 19:19:47] [NODES] - Adding AF-BWA node...
INFO [2024-08-19 19:19:47] [NODES] - Adding AF-CAF node...
INFO [2024-08-19 19:19:47] [NODES] - Adding AF-CIV node...
INFO [2024-08-19 19:19:47] [NODES] - Adding AF-CMR node...
INFO [2024-08-19 19:19:47] [NODES] - Adding AF-COD node...
INFO [2024-08-19 19:19:48] [NODES] - Adding AF-COG node...
INFO [2024-08-19 19:19:48] [NODES] - Adding AF-CPV node...
INFO [2024-08-19 19:19:48] [NODES] - Adding AF-DJI node...
INFO [2024-08-19 19:19:48] [NODES] - Adding AF-DZA node...
INFO [2024-08-19 19:19:48] [NODES] - Adding AF-EGY node...
INFO [2024-08-19 19:19:49] [NODES] - Adding AF-ERI node...
INFO [2024-08-19 19:19:49] [NODES] - Adding AF-ESH node...
INFO [2024-08-19 19:19:49] [NODES] - Adding AF-ETH node...
INFO [2024-08-19 19:19:49] [NODES] - Adding AF-GAB node...
INFO [2024-08-19 19:19:49] [NODES] - Adding AF-GHA node...
INFO [2024-08-19 19:19:50] [NODES] - Adding AF-GIN node...
INFO [2024-08-19 19:19:50] [NODES] - Adding AF-GMB node...
INFO [2024-08-19 19:19:50] [NODES] - Adding AF-GNB node...
INFO [2024-08-19 19:19:51] [NODES] - Adding AF-GNQ node...
INFO [2024-08-19 19:19:51] [NODES] - Adding AF-KEN node...
INFO [2024-08-19 19:19:51] [NODES] - Adding AF-LBR node...
INFO [2024-08-19 19:19:52] [NODES] - Adding AF-LBY node...
INFO [2024-08-19 19:19:52] [NODES] - Adding AF-LSO node...
INFO [2024-08-19 19:19:53] [NODES] - Adding AF-MAR node...
INFO [2024-08-19 19:19:53] [NODES] - Adding AF-MDG node...
INFO [2024-08-19 19:19:53] [NODES] - Adding AF-MLI node...
INFO [2024-08-19 19:19:54] [NODES] - Adding AF-MOZ node...
INFO [2024-08-19 19:19:54] [NODES] - Adding AF-MRT node...
INFO [2024-08-19 19:19:55] [NODES] - Adding AF-MUS node...
INFO [2024-08-19 19:19:55] [NODES] - Adding AF-MWI node...
INFO [2024-08-19 19:19:55] [NODES] - Adding AF-NAM node...
INFO [2024-08-19 19:19:56] [NODES] - Adding AF-NER node...
INFO [2024-08-19 19:19:57] [NODES] - Adding AF-NGA node...
INFO [2024-08-19 19:19:57] [NODES] - Adding AF-RWA node...
INFO [2024-08-19 19:19:58] [NODES] - Adding AF-SDN node...
INFO [2024-08-19 19:19:58] [NODES] - Adding AF-SEN node...
INFO [2024-08-19 19:19:59] [NODES] - Adding AF-SLE node...
INFO [2024-08-19 19:19:59] [NODES] - Adding AF-SWZ node...
INFO [2024-08-19 19:19:59] [NODES] - Adding AF-TGO node...
INFO [2024-08-19 19:20:00] [NODES] - Adding AF-TUN node...
INFO [2024-08-19 19:20:00] [NODES] - Adding AF-TZA node...
INFO [2024-08-19 19:20:00] [NODES] - Adding AF-UGA node...
INFO [2024-08-19 19:20:01] [NODES] - Adding AF-ZAF node...
INFO [2024-08-19 19:20:01] [NODES] - Adding AF-ZMB node...
INFO [2024-08-19 19:20:01] [NODES] - Adding AF-ZWE node...
INFO [2024-08-19 19:20:02] [NODES] - Adding AS-AFG node...
INFO [2024-08-19 19:20:02] [NODES] - Adding AS-ARE node...
INFO [2024-08-19 19:20:03] [NODES] - Adding AS-BGD node...
