ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_KWKNEUMARKT11355 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_LANDESBERGENBI11424 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_MLLVERWERTUNG11495 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_SCAMANNHEIM11648 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_STORAENSOMAXA11716 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_UPMSCHWEDT11755 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_UTB11756 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_WERKSKRAFTWERK11803 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_WERKSKRAFTWERK11805 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_WIBIEBRICH11814 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_ZELLSTOFFSTEND11847 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_ZOLLINGPOWERS11851 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_ALTBACHPOWERS10887 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BERGKAMENPOWER10936 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BERLINMOABITP10938 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BERLINREUTERP10939 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BERLINREUTERW10940 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BOA210982 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BOXBERGPOWERS10989 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BRAUNKOHLEKRAFT10993 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BREMENFARGEPO10995 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BUERPOWERSTAT11001 generator to EU-DEU node, skipping...
