INFO [2024-08-19 15:16:32] [NODES] - Adding AS-CHN-WM node...
INFO [2024-08-19 15:16:33] [NODES] - Adding AS-CHN-XI node...
INFO [2024-08-19 15:16:34] [NODES] - Adding AS-CHN-YU node...
INFO [2024-08-19 15:16:35] [NODES] - Adding AS-CHN-ZH node...
INFO [2024-08-19 15:16:36] [NODES] - Adding AS-IDN node...
INFO [2024-08-19 15:16:36] [NODES] - Adding AS-IND-EA node...
INFO [2024-08-19 15:16:37] [NODES] - Adding AS-IND-NE node...
INFO [2024-08-19 15:16:38] [NODES] - Adding AS-IND-NO node...
INFO [2024-08-19 15:16:39] [NODES] - Adding AS-IND-SO node...
INFO [2024-08-19 15:16:40] [NODES] - Adding AS-IND-WE node...
INFO [2024-08-19 15:16:41] [NODES] - Adding AS-IRN node...
INFO [2024-08-19 15:16:42] [NODES] - Adding AS-IRQ node...
INFO [2024-08-19 15:16:43] [NODES] - Adding AS-ISR node...
INFO [2024-08-19 15:16:44] [NODES] - Adding AS-JOR node...
INFO [2024-08-19 15:16:45] [NODES] - Adding AS-JPN-CE node...
INFO [2024-08-19 15:16:46] [NODES] - Adding AS-JPN-HO node...
INFO [2024-08-19 15:16:47] [NODES] - Adding AS-JPN-KY node...
INFO [2024-08-19 15:16:48] [NODES] - Adding AS-JPN-OK node...
INFO [2024-08-19 15:16:48] [NODES] - Adding AS-JPN-SH node...
INFO [2024-08-19 15:16:49] [NODES] - Adding AS-JPN-TO node...
INFO [2024-08-19 15:16:50] [NODES] - Adding AS-KAZ node...
INFO [2024-08-19 15:16:51] [NODES] - Adding AS-KGZ node...
INFO [2024-08-19 15:16:52] [NODES] - Adding AS-KHM node...
INFO [2024-08-19 15:16:53] [NODES] - Adding AS-KOR node...
INFO [2024-08-19 15:16:54] [NODES] - Adding AS-KWT node...
INFO [2024-08-19 15:16:55] [NODES] - Adding AS-LAO node...
INFO [2024-08-19 15:16:56] [NODES] - Adding AS-LBN node...
INFO [2024-08-19 15:16:57] [NODES] - Adding AS-LKA node...
INFO [2024-08-19 15:16:58] [NODES] - Adding AS-MMR node...
INFO [2024-08-19 15:17:00] [NODES] - Adding AS-MNG node...
INFO [2024-08-19 15:17:01] [NODES] - Adding AS-MYS node...
INFO [2024-08-19 15:17:02] [NODES] - Adding AS-NPL node...
INFO [2024-08-19 15:17:03] [NODES] - Adding AS-OMN node...
INFO [2024-08-19 15:17:04] [NODES] - Adding AS-PAK node...
INFO [2024-08-19 15:17:05] [NODES] - Adding AS-PHL node...
INFO [2024-08-19 15:17:07] [NODES] - Adding AS-PRK node...
INFO [2024-08-19 15:17:08] [NODES] - Adding AS-QAT node...
INFO [2024-08-19 15:17:09] [NODES] - Adding AS-RUS-CE node...
INFO [2024-08-19 15:17:10] [NODES] - Adding AS-RUS-FE node...
INFO [2024-08-19 15:17:11] [NODES] - Adding AS-RUS-MV node...
INFO [2024-08-19 15:17:12] [NODES] - Adding AS-RUS-NW node...
INFO [2024-08-19 15:17:13] [NODES] - Adding AS-RUS-SI node...
INFO [2024-08-19 15:17:14] [NODES] - Adding AS-RUS-SO node...
INFO [2024-08-19 15:17:15] [NODES] - Adding AS-RUS-UR node...
INFO [2024-08-19 15:17:16] [NODES] - Adding AS-SAU node...
INFO [2024-08-19 15:17:17] [NODES] - Adding AS-SGP node...
INFO [2024-08-19 15:17:18] [NODES] - Adding AS-SYR node...
INFO [2024-08-19 15:17:19] [NODES] - Adding AS-THA node...
INFO [2024-08-19 15:17:20] [NODES] - Adding AS-TJK node...
INFO [2024-08-19 15:17:21] [NODES] - Adding AS-TKM node...
INFO [2024-08-19 15:17:23] [NODES] - Adding AS-TUR node...
INFO [2024-08-19 15:17:24] [NODES] - Adding AS-TWN node...
INFO [2024-08-19 15:17:25] [NODES] - Adding AS-UZB node...
INFO [2024-08-19 15:17:26] [NODES] - Adding AS-VNM node...
INFO [2024-08-19 15:17:27] [NODES] - Adding AS-YEM node...
INFO [2024-08-19 15:17:28] [NODES] - Adding EU-ALB node...
INFO [2024-08-19 15:17:29] [NODES] - Adding EU-ARM node...
INFO [2024-08-19 15:17:31] [NODES] - Adding EU-AUT node...
INFO [2024-08-19 15:17:32] [NODES] - Adding EU-AZE node...
INFO [2024-08-19 15:17:33] [NODES] - Adding EU-BEL node...
INFO [2024-08-19 15:17:34] [NODES] - Adding EU-BGR node...
INFO [2024-08-19 15:17:35] [NODES] - Adding EU-BIH node...
INFO [2024-08-19 15:17:36] [NODES] - Adding EU-BLR node...
INFO [2024-08-19 15:17:38] [NODES] - Adding EU-CHE node...
INFO [2024-08-19 15:17:39] [NODES] - Adding EU-CYP node...
INFO [2024-08-19 15:17:40] [NODES] - Adding EU-CZE node...
INFO [2024-08-19 15:17:41] [NODES] - Adding EU-DEU node...
INFO [2024-08-19 15:17:43] [NODES] - Adding EU-DNK node...
INFO [2024-08-19 15:17:44] [NODES] - Adding EU-ESP node...
INFO [2024-08-19 15:17:45] [NODES] - Adding EU-EST node...
INFO [2024-08-19 15:17:46] [NODES] - Adding EU-FIN node...
INFO [2024-08-19 15:17:48] [NODES] - Adding EU-FRA node...
INFO [2024-08-19 15:17:49] [NODES] - Adding EU-GBR node...
INFO [2024-08-19 15:17:50] [NODES] - Adding EU-GEO node...
INFO [2024-08-19 15:17:51] [NODES] - Adding EU-GRC node...
INFO [2024-08-19 15:17:53] [NODES] - Adding EU-HRV node...
INFO [2024-08-19 15:17:54] [NODES] - Adding EU-HUN node...
INFO [2024-08-19 15:17:55] [NODES] - Adding EU-IRL node...
INFO [2024-08-19 15:17:57] [NODES] - Adding EU-ISL node...
INFO [2024-08-19 15:17:58] [NODES] - Adding EU-ITA node...
INFO [2024-08-19 15:17:59] [NODES] - Adding EU-KOS node...
INFO [2024-08-19 15:18:01] [NODES] - Adding EU-LTU node...
INFO [2024-08-19 15:18:02] [NODES] - Adding EU-LUX node...
INFO [2024-08-19 15:18:04] [NODES] - Adding EU-LVA node...
INFO [2024-08-19 15:18:06] [NODES] - Adding EU-MDA node...
INFO [2024-08-19 15:18:07] [NODES] - Adding EU-MKD node...
INFO [2024-08-19 15:18:09] [NODES] - Adding EU-MNE node...
INFO [2024-08-19 15:18:10] [NODES] - Adding EU-NLD node...
INFO [2024-08-19 15:18:12] [NODES] - Adding EU-NOR node...
INFO [2024-08-19 15:18:13] [NODES] - Adding EU-POL node...
INFO [2024-08-19 15:18:14] [NODES] - Adding EU-PRT node...
INFO [2024-08-19 15:18:16] [NODES] - Adding EU-ROU node...
INFO [2024-08-19 15:18:17] [NODES] - Adding EU-SRB node...
INFO [2024-08-19 15:18:19] [NODES] - Adding EU-SVK node...
INFO [2024-08-19 15:18:20] [NODES] - Adding EU-SVN node...
INFO [2024-08-19 15:18:22] [NODES] - Adding EU-SWE node...
INFO [2024-08-19 15:18:24] [NODES] - Adding EU-UKR node...
INFO [2024-08-19 15:18:26] [NODES] - Adding OC-ATA node...
INFO [2024-08-19 15:18:28] [NODES] - Adding OC-AUS-NT node...
INFO [2024-08-19 15:18:30] [NODES] - Adding OC-AUS-QL node...
INFO [2024-08-19 15:18:31] [NODES] - Adding OC-AUS-SA node...
INFO [2024-08-19 15:18:33] [NODES] - Adding OC-AUS-SW node...
INFO [2024-08-19 15:18:35] [NODES] - Adding OC-AUS-TA node...
