INFO [2024-09-04 10:12:33] [MAIN] - Creating v2_test__2024_09_04_10_12_33 study...

INFO [2024-09-04 10:12:33] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-04 10:12:33] [MAIN] - Adding nodes...

INFO [2024-09-04 10:12:35] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 10:12:35] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 10:12:35] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 10:12:36] [MAIN] - Done adding nodes! (run time : 2.43s).

INFO [2024-09-04 10:12:36] [MAIN] - Adding districts...

INFO [2024-09-04 10:12:36] [DISTRICTS] - Creating global district...
INFO [2024-09-04 10:12:37] [DISTRICTS] - Done creating global district!
INFO [2024-09-04 10:12:37] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-04 10:12:37] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-04 10:12:37] [MAIN] - Done adding districts! (run time : 1.2s).

INFO [2024-09-04 10:12:37] [MAIN] - Adding load data...

INFO [2024-09-04 10:12:38] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-04 10:12:38] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-04 10:12:38] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-04 10:12:38] [MAIN] - Done adding load data! (run time : 1.42s).

INFO [2024-09-04 10:12:39] [MAIN] - Fetching wind data...

INFO [2024-09-04 10:12:39] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-04 10:12:39] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-04 10:12:39] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-04 10:12:39] [MAIN] - Done adding wind data! (run time : 0.29s).

INFO [2024-09-04 10:12:39] [MAIN] - Fetching solar data...

INFO [2024-09-04 10:12:39] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-04 10:12:39] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-04 10:12:39] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-04 10:12:39] [MAIN] - Done adding solar data! (run time : 0.27s).

INFO [2024-09-04 10:12:39] [MAIN] - Fetching battery data...

INFO [2024-09-04 10:12:39] [MAIN] - Aggregating identical batteries...
INFO [2024-09-04 10:12:39] [MAIN] - Running 10-clustering algorithm on batteries...
INFO [2024-09-04 10:12:44] [MAIN] - Done running 10-clustering algorithm on batteries!

INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_CHE_SwissDualCircui104 battery to EU-CHE node...
INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_CHE_LausannePolytec102 battery to EU-CHE node...
INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_CHE_50kW60kWhEnergy99_Passivhaus50kW1103 battery to EU-CHE node...
INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_CHE_CKWESpeicherWer100 battery to EU-CHE node...
INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_CHE_EPFLLeclancheDi101 battery to EU-CHE node...
INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_CHE_TheZurichDietik105 battery to EU-CHE node...
INFO [2024-09-04 10:12:45] [STORAGE] - Adding CHE_PHS_OvaSpinPumpedHy119 battery to EU-CHE node...
INFO [2024-09-04 10:12:46] [STORAGE] - Adding CHE_PHS_EtzelwerkPumped107_Grimsel2PumpedH110_NantdeDrancePu battery to EU-CHE node...
INFO [2024-09-04 10:12:46] [STORAGE] - Adding CHE_PHS_VeytauxFMHLPump122 battery to EU-CHE node...
INFO [2024-09-04 10:12:46] [STORAGE] - Adding CHE_PHS_EmossonPumpedHy106 battery to EU-CHE node...
INFO [2024-09-04 10:12:46] [STORAGE] - Adding CHE_PHS_GougraPumpedHyd109 battery to EU-CHE node...
INFO [2024-09-04 10:12:46] [STORAGE] - Adding CHE_PHS_FerreraPumpedHy108_LinthLimmernPum116 battery to EU-CHE node...
INFO [2024-09-04 10:12:46] [STORAGE] - Adding CHE_PHS_HongrinLemanPum113 battery to EU-CHE node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding CHE_PHS_RobieiPumpedHyd120_MapraggPumpedHy117 battery to EU-CHE node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding CHE_PHS_Grimsel3PumpedH111 battery to EU-CHE node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding CHE_PHS_Handeck3PumpedH112_TierfehdNestilP121 battery to EU-CHE node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding DEU_CHE_WEMAGSchwerinBa265 battery to EU-DEU node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding DEU_CHE_SwagBoschCommun263_CustomerProject239_FastChargingeB battery to EU-DEU node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding DEU_CHE_QinousDemonstra255 battery to EU-DEU node...
INFO [2024-09-04 10:12:47] [STORAGE] - Adding DEU_CHE_FeldheimRegiona248 battery to EU-DEU node...
INFO [2024-09-04 10:12:48] [STORAGE] - Adding DEU_CHE_IntelligentesNe252_BatteryEnergySt232_Netlab2Sonderb battery to EU-DEU node...
INFO [2024-09-04 10:12:48] [STORAGE] - Adding DEU_CHE_IHEMIntelligent251 battery to EU-DEU node...
INFO [2024-09-04 10:12:48] [STORAGE] - Adding DEU_CHE_Web2EnergySmart264 battery to EU-DEU node...
INFO [2024-09-04 10:12:48] [STORAGE] - Adding DEU_CHE_CatervaSWARM237_BoschBraderupES236_DREWAGReick2MWP24 battery to EU-DEU node...
INFO [2024-09-04 10:12:48] [STORAGE] - Adding DEU_CHE_SmartRegionPell262 battery to EU-DEU node...
INFO [2024-09-04 10:12:48] [STORAGE] - Adding DEU_CHE_YounicosandVatt266_EEBattEnergyNei244_250kW1MWhElChe battery to EU-DEU node...
INFO [2024-09-04 10:12:49] [STORAGE] - Adding DEU_CHE_SmartRegionPell261 battery to EU-DEU node...
INFO [2024-09-04 10:12:49] [STORAGE] - Adding DEU_CHE_CellcubeWilliba238 battery to EU-DEU node...
INFO [2024-09-04 10:12:49] [STORAGE] - Adding DEU_CHE_BoschBraderupES235_1MWLESSYVolklin230 battery to EU-DEU node...
INFO [2024-09-04 10:12:49] [STORAGE] - Adding DEU_CHE_BESSNeuhardenbe234 battery to EU-DEU node...
INFO [2024-09-04 10:12:49] [STORAGE] - Adding DEU_CHE_10kW100kWhHaakF228 battery to EU-DEU node...
INFO [2024-09-04 10:12:50] [STORAGE] - Adding DEU_CHE_GermanyResident249 battery to EU-DEU node...
INFO [2024-09-04 10:12:50] [STORAGE] - Adding DEU_CHE_RedoxWindTheFra256_Drverden3MWBatt243 battery to EU-DEU node...
INFO [2024-09-04 10:12:50] [STORAGE] - Adding DEU_CHE_DMGGildemeister241 battery to EU-DEU node...
INFO [2024-09-04 10:12:50] [STORAGE] - Adding DEU_CHE_Daimler2ndLifeS240 battery to EU-DEU node...
INFO [2024-09-04 10:12:50] [STORAGE] - Adding DEU_CHE_15MWEnergyStora229 battery to EU-DEU node...
INFO [2024-09-04 10:12:51] [STORAGE] - Adding DEU_CHE_SmartOperatorWi259 battery to EU-DEU node...
INFO [2024-09-04 10:12:51] [STORAGE] - Adding DEU_CHE_QinousDemonstra254 battery to EU-DEU node...
INFO [2024-09-04 10:12:51] [STORAGE] - Adding DEU_CHE_SmartOperator257_SmartOperatorKi258 battery to EU-DEU node...
INFO [2024-09-04 10:12:51] [STORAGE] - Adding DEU_CHE_EnerconWindTurb245 battery to EU-DEU node...
INFO [2024-09-04 10:12:51] [STORAGE] - Adding DEU_CHE_YounicosandVatt267 battery to EU-DEU node...
INFO [2024-09-04 10:12:52] [STORAGE] - Adding DEU_CHE_EnergyBufferUni246 battery to EU-DEU node...
INFO [2024-09-04 10:12:52] [STORAGE] - Adding DEU_THE_JulichSolarTowe302 battery to EU-DEU node...
