INFO [2024-08-19 14:59:29] [MAIN] - Creating Deane_EU_Agg_new__2024_08_19_14_59_29 study...

INFO [2024-08-19 14:59:29] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-08-19 14:59:29] [MAIN] - Adding nodes...

INFO [2024-08-19 14:59:31] [NODES] - Adding EU-DEU node...
INFO [2024-08-19 14:59:31] [MAIN] - Done adding nodes! (run time : 1.82s).

INFO [2024-08-19 14:59:31] [MAIN] - Adding load data...

INFO [2024-08-19 14:59:32] [LOAD] - Adding EU-DEU load data...
INFO [2024-08-19 14:59:32] [MAIN] - Done adding load data! (run time : 1.39s).

INFO [2024-08-19 14:59:32] [MAIN] - Fetching wind data...

INFO [2024-08-19 14:59:33] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-08-19 14:59:33] [MAIN] - Done adding wind data! (run time : 0.17s).

INFO [2024-08-19 14:59:33] [MAIN] - Fetching solar data...

INFO [2024-08-19 14:59:33] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-08-19 14:59:33] [MAIN] - Done adding solar data! (run time : 0.14s).

INFO [2024-08-19 14:59:33] [MAIN] - Beginning hydro implementation...
INFO [2024-08-19 14:59:34] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-08-19 14:59:35] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-08-19 14:59:35] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-08-19 14:59:35] [MAIN] - Done adding hydro!
INFO [2024-08-19 14:59:35] [MAIN] - Fetching thermal data...
INFO [2024-08-19 14:59:38] [MAIN] - Aggregating identical generators...
INFO [2024-08-19 14:59:38] [MAIN] - Running 25-clustering algorithm on generators...
INFO [2024-08-19 14:59:38] [MAIN] - Done running 25-clustering algorithm on generators!

INFO [2024-08-19 14:59:38] [THERMAL] - Adding DEU_GAS_HKW211193_HKWNORD11240_DORTMUND11046_KWKANLAGEKREF11357_HKWFREIBERG generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_HEIZKRAFTWERKW11280_GUDKRAFTWERKH11172_INDUSTRIEKRAFTW11333_NATURAL generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_HKWCHEMNITZN11199_HKWELTMANN11201_HKWWRTH11238_GUDANLAGEWVK11169_PK generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_EMSLAND11088_CAPACITY SCALER_DUISBURGHAMBOR11049_KRAFTWERKSD11411 generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_FRANKEN111114_HKWIIIB11212_TRIANELNATURAL11743_DORMAGEN11044_NATURA generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_KIRCHMSER11375_HEIZKRAFTWERKL11273_DOWSTADE11047_DAMPFKRAFTWERK1102 generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_BHKWANKLINKER10911_BHKWHAUFFSTRA10912_HEIZKRAFTWERK511262_HKWBADSAL generator to EU-DEU node...
INFO [2024-08-19 14:59:39] [THERMAL] - Adding DEU_GAS_LICHTERFELDE11438_KRAFTWERKMAINZ11403_NATURALGASTUR11503_MITTE11480 generator to EU-DEU node...
