INFO [2024-09-03 13:56:21] [MAIN] - Creating Deane_Outage__2024_09_03_13_56_20 study...

INFO [2024-09-03 13:56:21] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-03 13:56:21] [MAIN] - Adding nodes...

INFO [2024-09-03 13:56:23] [NODES] - Adding EU-CHE node...
INFO [2024-09-03 13:56:24] [NODES] - Adding EU-DEU node...
INFO [2024-09-03 13:56:24] [NODES] - Adding EU-FRA node...
INFO [2024-09-03 13:56:24] [MAIN] - Done adding nodes! (run time : 3.27s).

INFO [2024-09-03 13:56:24] [MAIN] - Adding districts...

INFO [2024-09-03 13:56:25] [DISTRICTS] - Creating global district...
INFO [2024-09-03 13:56:25] [DISTRICTS] - Done creating global district!
INFO [2024-09-03 13:56:25] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-03 13:56:25] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-03 13:56:26] [MAIN] - Done adding districts! (run time : 1.21s).

INFO [2024-09-03 13:56:26] [MAIN] - Adding load data...

INFO [2024-09-03 13:56:27] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-03 13:56:27] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-03 13:56:27] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-03 13:56:27] [MAIN] - Done adding load data! (run time : 1.87s).

INFO [2024-09-03 13:56:28] [MAIN] - Fetching wind data...

INFO [2024-09-03 13:56:28] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-03 13:56:28] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-03 13:56:28] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-03 13:56:28] [MAIN] - Done adding wind data! (run time : 0.7s).

INFO [2024-09-03 13:56:28] [MAIN] - Fetching solar data...

INFO [2024-09-03 13:56:29] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-03 13:56:29] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-03 13:56:29] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-03 13:56:29] [MAIN] - Done adding solar data! (run time : 0.42s).

INFO [2024-09-03 13:56:29] [MAIN] - Beginning hydro implementation...
INFO [2024-09-03 13:56:31] [HYDRO] - Initializing EU-CHE hydro parameters...
INFO [2024-09-03 13:56:32] [HYDRO] - Adding EU-CHE max power timeseries...
INFO [2024-09-03 13:56:32] [HYDRO] - Adding EU-CHE hydro profiles...
INFO [2024-09-03 13:56:34] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-09-03 13:56:34] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-09-03 13:56:35] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-09-03 13:56:36] [HYDRO] - Initializing EU-FRA hydro parameters...
INFO [2024-09-03 13:56:37] [HYDRO] - Adding EU-FRA max power timeseries...
INFO [2024-09-03 13:56:38] [HYDRO] - Adding EU-FRA hydro profiles...
INFO [2024-09-03 13:56:38] [MAIN] - Done adding hydro!
INFO [2024-09-03 13:56:38] [MAIN] - Fetching thermal data...
INFO [2024-09-03 13:56:43] [MAIN] - Aggregating identical generators...
INFO [2024-09-03 13:56:43] [MAIN] - Running 15-clustering algorithm on generators...
INFO [2024-09-03 13:56:44] [MAIN] - Done running 15-clustering algorithm on generators!

INFO [2024-09-03 13:56:44] [THERMAL] - Adding CHE_GAS_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:56:44] [THERMAL] - Adding CHE_COA_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:56:44] [THERMAL] - Adding CHE_BIO_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:56:50] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKB17760 generator to EU-CHE node...
INFO [2024-09-03 13:56:50] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKM17763 generator to EU-CHE node...
INFO [2024-09-03 13:56:50] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKL17762 generator to EU-CHE node...
INFO [2024-09-03 13:56:50] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKG17761 generator to EU-CHE node...
INFO [2024-09-03 13:56:50] [THERMAL] - Adding CHE_OIL_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:56:51] [THERMAL] - Adding DEU_GAS_GERSTEINWERK11141_GEMEINSCHAFTSKR11138_RHEINHAFENDAM generator to EU-DEU node...
INFO [2024-09-03 13:56:51] [THERMAL] - Adding DEU_GAS_GUDBITTERFELD11171_GUDMARIENEHE11174_HKWMERKENICH112 generator to EU-DEU node...
INFO [2024-09-03 13:56:51] [THERMAL] - Adding DEU_GAS_HKWNIEDERRAD11220_GUDTIEFSTACK11176_SDDT6011724_GUDI generator to EU-DEU node...
INFO [2024-09-03 13:56:51] [THERMAL] - Adding DEU_GAS_HKWCHEMNITZN11199_HKWELTMANN11201_HKWWRTH11238_GUDAN generator to EU-DEU node...
INFO [2024-09-03 13:56:51] [THERMAL] - Adding DEU_GAS_GUDHKWNEUBRAN11179_GUDBAUNATALV11170_SDDT111723_HKWB generator to EU-DEU node...
INFO [2024-09-03 13:56:52] [THERMAL] - Adding DEU_GAS_BHKWH_12010908_GUDKRAFTWERK11181_HEIZKRAFTWERK411261 generator to EU-DEU node...
INFO [2024-09-03 13:56:52] [THERMAL] - Adding DEU_GAS_KESSEL211371_ERWEITERUNGENE11099 generator to EU-DEU node...
INFO [2024-09-03 13:56:53] [THERMAL] - Adding DEU_GAS_HBB11188_INEOSKRAFTWERK11321_HKW211193_HKWNORD11240_ generator to EU-DEU node...
INFO [2024-09-03 13:56:53] [THERMAL] - Adding DEU_GAS_HKWHILTROP11209_HKWSCHWERINS11231_NATURALGASKRAF1150 generator to EU-DEU node...
INFO [2024-09-03 13:56:53] [THERMAL] - Adding DEU_GAS_RAGANTHRAZITI11596_EVCGLOBALFOU11064_KRAFTWERK211393 generator to EU-DEU node...
INFO [2024-09-03 13:56:54] [THERMAL] - Adding DEU_GAS_BHKWANKLINKER10911_BHKWHAUFFSTRA10912_HEIZKRAFTWERK5 generator to EU-DEU node...
INFO [2024-09-03 13:56:54] [THERMAL] - Adding DEU_GAS_HKWDRESDENNOS11200_FRANKEN111114_HKWIIIB11212_TRIANE generator to EU-DEU node...
INFO [2024-09-03 13:56:55] [THERMAL] - Adding DEU_GAS_KIRCHMSER11375_HEIZKRAFTWERKL11273_DOWSTADE11047_DAM generator to EU-DEU node...
INFO [2024-09-03 13:56:55] [THERMAL] - Adding DEU_GAS_GTKWDARMSTADT11128_HEIZKRAFTWERKK11271_HEIZKRAFTWERK generator to EU-DEU node...
INFO [2024-09-03 13:56:55] [THERMAL] - Adding DEU_GAS_KWKIRCHLENGERN11345_HKWNIEHL211221_LICHTERFELDE11438 generator to EU-DEU node...
INFO [2024-09-03 13:56:55] [THERMAL] - Adding DEU_COA_HKWERLANGENC11203_COALPLANT111015_COALPLANT211016_EZ generator to EU-DEU node...
INFO [2024-09-03 13:56:56] [THERMAL] - Adding DEU_COA_KWVOERDE11348_JANSCHWALDEPOW11338_GKMMANNHEIM11125_F generator to EU-DEU node...
INFO [2024-09-03 13:56:56] [THERMAL] - Adding DEU_COA_BRAUNKOHLEKRAFT10993_HEYDENPOWERST11292_LIPPENDORFPO generator to EU-DEU node...
INFO [2024-09-03 13:56:56] [THERMAL] - Adding DEU_COA_KESSEL411372_KRAFTWERK11391_HKWKARCHERSTR_11214_KOHL generator to EU-DEU node...
INFO [2024-09-03 13:56:56] [THERMAL] - Adding DEU_COA_TIEFSTACKPOWER11739_FLENSBURGPOWER11111_KRAFTWERKENS generator to EU-DEU node...
INFO [2024-09-03 13:56:57] [THERMAL] - Adding DEU_COA_KWM11360_SCHOLVENPOWER11669_LNENPOWERST11449_BERGKAM generator to EU-DEU node...
INFO [2024-09-03 13:56:57] [THERMAL] - Adding DEU_COA_IBBENBRENBP11323_HAMBURGMOORBUR11247_WALHEIMPOWERS11 generator to EU-DEU node...
INFO [2024-09-03 13:56:57] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERKF11266_DESSAUPOWERST11037_GRUBENHEIZKRA generator to EU-DEU node...
INFO [2024-09-03 13:56:58] [THERMAL] - Adding DEU_COA_TRIANELKOHLEKR11742_WILHELMSHAVENP11817 generator to EU-DEU node...
INFO [2024-09-03 13:56:58] [THERMAL] - Adding DEU_COA_ALTBACHPOWERS10887_ROSTOCKPOWERS11638_RHEINHAFENDAMP generator to EU-DEU node...
