INFO [2024-09-09 17:27:14] [MAIN] - Creating clusters_ren__2024_09_09_17_27_14 study...

INFO [2024-09-09 17:27:14] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 17:27:14] [MAIN] - Adding nodes...

INFO [2024-09-09 17:27:15] [NODES] - Adding eu-fra node...
INFO [2024-09-09 17:27:15] [MAIN] - Done adding nodes! (run time : 1s).
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_beausemblant8987 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_beausite8988 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_beauval8989 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_beauvilliers8990 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_benet8997 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_bernaysaintma9002 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_bertignolles9003 generator to eu-fra area!
INFO [2024-09-09 17:27:23] [WIND] - Successfully added fra_win_beuveille9010 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_beuvraignes9011 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_beuzeccapsizu9012 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_biesles9015 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_bignan9016 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_binas9018 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_blignylesec9023 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_boisvillelasa9025 generator to eu-fra area!
INFO [2024-09-09 17:27:24] [WIND] - Successfully added fra_win_bollne9026 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bonnet9032 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bonneuillesea9035 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bonnires9037 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bonvillers9038 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bouberssurcan9043 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bougainville9044 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bouillancourte9045 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_bouin9048 generator to eu-fra area!
INFO [2024-09-09 17:27:25] [WIND] - Successfully added fra_win_boulaymoselle9049 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_bourbriac9051 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_bourgneufenre9057 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_bourthes9060 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_bousbach9061 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_boutavent9064 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_bovesurbarb9067 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_brachy9071 generator to eu-fra area!
INFO [2024-09-09 17:27:26] [WIND] - Successfully added fra_win_braillycorneho9072 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_bremsurmer9077 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_bressuire9080 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_breteuil9082 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_brissyhamgic9090 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_broquis9093 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_brusque9096 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_bussiresaint9098 generator to eu-fra area!
INFO [2024-09-09 17:27:27] [WIND] - Successfully added fra_win_cabrespine9122 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_caix9124 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_calenzana9128 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_callengeville9130 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_cambernon9134 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_cambonetsalve9135 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_campbon9137 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_campigny9138 generator to eu-fra area!
INFO [2024-09-09 17:27:28] [WIND] - Successfully added fra_win_camplong9139 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_campnac9140 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_candas9142 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_canet9143 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_cast9153 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_castanetlehau9154 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_castelnaupga9158 generator to eu-fra area!
INFO [2024-09-09 17:27:29] [WIND] - Successfully added fra_win_caudebronde9171 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_caulires9172 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_caurel9173 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_cellessurbell9179 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_cerisires9181 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_cernon9183 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_chambonchard9188 generator to eu-fra area!
INFO [2024-09-09 17:27:30] [WIND] - Successfully added fra_win_champdenierssa9193 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_champfleury9194 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_champlin9195 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_champon9198 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_chantrign9202 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_chapellevallon9203 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_charlysurmarn9205 generator to eu-fra area!
INFO [2024-09-09 17:27:31] [WIND] - Successfully added fra_win_charmontenbea9207 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_charmontsousb9208 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_chastelnouvel9213 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_chaudeyrac9218 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_chauv9221 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_chelers9222 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_chermisey9224 generator to eu-fra area!
INFO [2024-09-09 17:27:32] [WIND] - Successfully added fra_win_chervey9225 generator to eu-fra area!
INFO [2024-09-09 17:27:33] [WIND] - Successfully added fra_win_chicheboville9227 generator to eu-fra area!
INFO [2024-09-09 17:27:33] [WIND] - Successfully added fra_win_chteauporcie9231 generator to eu-fra area!
INFO [2024-09-09 17:27:33] [WIND] - Successfully added fra_win_chteaulin9232 generator to eu-fra area!
INFO [2024-09-09 17:27:33] [WIND] - Successfully added fra_win_chtres9238 generator to eu-fra area!
INFO [2024-09-09 17:27:33] [WIND] - Successfully added fra_win_chpy9239 generator to eu-fra area!
INFO [2024-09-09 17:27:33] [WIND] - Successfully added fra_win_chry9240 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_civray9244 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_clamanges9247 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_clamecy9249 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_clitourps9254 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_cocquerel9257 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_collorec9259 generator to eu-fra area!
INFO [2024-09-09 17:27:34] [WIND] - Successfully added fra_win_conilhaccorbi9265 generator to eu-fra area!
INFO [2024-09-09 17:27:35] [WIND] - Successfully added fra_win_conilhacdela9266 generator to eu-fra area!
INFO [2024-09-09 17:27:35] [WIND] - Successfully added fra_win_conteville9267 generator to eu-fra area!
INFO [2024-09-09 17:27:35] [WIND] - Successfully added fra_win_contreuve9268 generator to eu-fra area!
INFO [2024-09-09 17:27:35] [WIND] - Successfully added fra_win_coole9269 generator to eu-fra area!
INFO [2024-09-09 17:27:35] [WIND] - Successfully added fra_win_coquelles9270 generator to eu-fra area!
INFO [2024-09-09 17:27:35] [WIND] - Successfully added fra_win_coren9273 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_cormainville9274 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_cormont9275 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_corpe9278 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_corroy9279 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_couff9283 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_coulongesthoua9285 generator to eu-fra area!
INFO [2024-09-09 17:27:36] [WIND] - Successfully added fra_win_coulours9286 generator to eu-fra area!
