INFO [2024-08-09 10:00:39] [NODES] - Adding AS-CHN-WM node...
INFO [2024-08-09 10:00:39] [NODES] - Adding AS-CHN-XI node...
INFO [2024-08-09 10:00:40] [NODES] - Adding AS-CHN-YU node...
INFO [2024-08-09 10:00:41] [NODES] - Adding AS-CHN-ZH node...
INFO [2024-08-09 10:00:42] [NODES] - Adding AS-IDN node...
INFO [2024-08-09 10:00:43] [NODES] - Adding AS-IND-EA node...
INFO [2024-08-09 10:00:44] [NODES] - Adding AS-IND-NE node...
INFO [2024-08-09 10:00:45] [NODES] - Adding AS-IND-NO node...
INFO [2024-08-09 10:00:45] [NODES] - Adding AS-IND-SO node...
INFO [2024-08-09 10:00:46] [NODES] - Adding AS-IND-WE node...
INFO [2024-08-09 10:00:47] [NODES] - Adding AS-IRN node...
INFO [2024-08-09 10:00:48] [NODES] - Adding AS-IRQ node...
INFO [2024-08-09 10:00:48] [NODES] - Adding AS-ISR node...
INFO [2024-08-09 10:00:49] [NODES] - Adding AS-JOR node...
INFO [2024-08-09 10:00:50] [NODES] - Adding AS-JPN-CE node...
INFO [2024-08-09 10:00:51] [NODES] - Adding AS-JPN-HO node...
INFO [2024-08-09 10:00:52] [NODES] - Adding AS-JPN-KY node...
INFO [2024-08-09 10:00:53] [NODES] - Adding AS-JPN-OK node...
INFO [2024-08-09 10:00:53] [NODES] - Adding AS-JPN-SH node...
INFO [2024-08-09 10:00:54] [NODES] - Adding AS-JPN-TO node...
INFO [2024-08-09 10:00:55] [NODES] - Adding AS-KAZ node...
INFO [2024-08-09 10:00:56] [NODES] - Adding AS-KGZ node...
INFO [2024-08-09 10:00:57] [NODES] - Adding AS-KHM node...
INFO [2024-08-09 10:00:58] [NODES] - Adding AS-KOR node...
INFO [2024-08-09 10:00:58] [NODES] - Adding AS-KWT node...
INFO [2024-08-09 10:00:59] [NODES] - Adding AS-LAO node...
INFO [2024-08-09 10:01:00] [NODES] - Adding AS-LBN node...
INFO [2024-08-09 10:01:01] [NODES] - Adding AS-LKA node...
INFO [2024-08-09 10:01:02] [NODES] - Adding AS-MMR node...
INFO [2024-08-09 10:01:03] [NODES] - Adding AS-MNG node...
INFO [2024-08-09 10:01:04] [NODES] - Adding AS-MYS node...
INFO [2024-08-09 10:01:05] [NODES] - Adding AS-NPL node...
INFO [2024-08-09 10:01:06] [NODES] - Adding AS-OMN node...
INFO [2024-08-09 10:01:07] [NODES] - Adding AS-PAK node...
INFO [2024-08-09 10:01:08] [NODES] - Adding AS-PHL node...
INFO [2024-08-09 10:01:09] [NODES] - Adding AS-PRK node...
INFO [2024-08-09 10:01:11] [NODES] - Adding AS-QAT node...
INFO [2024-08-09 10:01:12] [NODES] - Adding AS-RUS-CE node...
INFO [2024-08-09 10:01:13] [NODES] - Adding AS-RUS-FE node...
INFO [2024-08-09 10:01:14] [NODES] - Adding AS-RUS-MV node...
INFO [2024-08-09 10:01:15] [NODES] - Adding AS-RUS-NW node...
INFO [2024-08-09 10:01:16] [NODES] - Adding AS-RUS-SI node...
INFO [2024-08-09 10:01:17] [NODES] - Adding AS-RUS-SO node...
INFO [2024-08-09 10:01:18] [NODES] - Adding AS-RUS-UR node...
INFO [2024-08-09 10:01:19] [NODES] - Adding AS-SAU node...
INFO [2024-08-09 10:01:21] [NODES] - Adding AS-SGP node...
INFO [2024-08-09 10:01:22] [NODES] - Adding AS-SYR node...
INFO [2024-08-09 10:01:23] [NODES] - Adding AS-THA node...
INFO [2024-08-09 10:01:25] [NODES] - Adding AS-TJK node...
INFO [2024-08-09 10:01:26] [NODES] - Adding AS-TKM node...
INFO [2024-08-09 10:01:27] [NODES] - Adding AS-TUR node...
INFO [2024-08-09 10:01:29] [NODES] - Adding AS-TWN node...
INFO [2024-08-09 10:01:30] [NODES] - Adding AS-UZB node...
INFO [2024-08-09 10:01:31] [NODES] - Adding AS-VNM node...
INFO [2024-08-09 10:01:33] [NODES] - Adding AS-YEM node...
INFO [2024-08-09 10:01:34] [NODES] - Adding EU-ALB node...
INFO [2024-08-09 10:01:35] [NODES] - Adding EU-ARM node...
INFO [2024-08-09 10:01:37] [NODES] - Adding EU-AUT node...
INFO [2024-08-09 10:01:38] [NODES] - Adding EU-AZE node...
INFO [2024-08-09 10:01:39] [NODES] - Adding EU-BEL node...
INFO [2024-08-09 10:01:40] [NODES] - Adding EU-BGR node...
INFO [2024-08-09 10:01:41] [NODES] - Adding EU-BIH node...
INFO [2024-08-09 10:01:43] [NODES] - Adding EU-BLR node...
INFO [2024-08-09 10:01:44] [NODES] - Adding EU-CHE node...
INFO [2024-08-09 10:01:45] [NODES] - Adding EU-CYP node...
INFO [2024-08-09 10:01:46] [NODES] - Adding EU-CZE node...
INFO [2024-08-09 10:01:47] [NODES] - Adding EU-DEU node...
INFO [2024-08-09 10:01:48] [NODES] - Adding EU-DNK node...
INFO [2024-08-09 10:01:49] [NODES] - Adding EU-ESP node...
INFO [2024-08-09 10:01:50] [NODES] - Adding EU-EST node...
INFO [2024-08-09 10:01:52] [NODES] - Adding EU-FIN node...
INFO [2024-08-09 10:01:53] [NODES] - Adding EU-FRA node...
INFO [2024-08-09 10:01:54] [NODES] - Adding EU-GBR node...
INFO [2024-08-09 10:01:55] [NODES] - Adding EU-GEO node...
INFO [2024-08-09 10:01:57] [NODES] - Adding EU-GRC node...
INFO [2024-08-09 10:01:58] [NODES] - Adding EU-HRV node...
INFO [2024-08-09 10:01:59] [NODES] - Adding EU-HUN node...
INFO [2024-08-09 10:02:00] [NODES] - Adding EU-IRL node...
INFO [2024-08-09 10:02:01] [NODES] - Adding EU-ISL node...
INFO [2024-08-09 10:02:03] [NODES] - Adding EU-ITA node...
INFO [2024-08-09 10:02:04] [NODES] - Adding EU-KOS node...
INFO [2024-08-09 10:02:05] [NODES] - Adding EU-LTU node...
INFO [2024-08-09 10:02:07] [NODES] - Adding EU-LUX node...
INFO [2024-08-09 10:02:08] [NODES] - Adding EU-LVA node...
INFO [2024-08-09 10:02:10] [NODES] - Adding EU-MDA node...
INFO [2024-08-09 10:02:12] [NODES] - Adding EU-MKD node...
INFO [2024-08-09 10:02:13] [NODES] - Adding EU-MNE node...
INFO [2024-08-09 10:02:15] [NODES] - Adding EU-NLD node...
INFO [2024-08-09 10:02:17] [NODES] - Adding EU-NOR node...
INFO [2024-08-09 10:02:19] [NODES] - Adding EU-POL node...
INFO [2024-08-09 10:02:20] [NODES] - Adding EU-PRT node...
INFO [2024-08-09 10:02:22] [NODES] - Adding EU-ROU node...
INFO [2024-08-09 10:02:25] [NODES] - Adding EU-SRB node...
INFO [2024-08-09 10:02:28] [NODES] - Adding EU-SVK node...
INFO [2024-08-09 10:02:30] [NODES] - Adding EU-SVN node...
INFO [2024-08-09 10:02:32] [NODES] - Adding EU-SWE node...
INFO [2024-08-09 10:02:34] [NODES] - Adding EU-UKR node...
INFO [2024-08-09 10:02:36] [NODES] - Adding OC-ATA node...
INFO [2024-08-09 10:02:38] [NODES] - Adding OC-AUS-NT node...
INFO [2024-08-09 10:02:40] [NODES] - Adding OC-AUS-QL node...
INFO [2024-08-09 10:02:41] [NODES] - Adding OC-AUS-SA node...
INFO [2024-08-09 10:02:43] [NODES] - Adding OC-AUS-SW node...
INFO [2024-08-09 10:02:45] [NODES] - Adding OC-AUS-TA node...
INFO [2024-08-09 10:02:47] [NODES] - Adding OC-AUS-VI node...
INFO [2024-08-09 10:02:49] [NODES] - Adding OC-AUS-WA node...
INFO [2024-08-09 10:02:51] [NODES] - Adding OC-FJI node...
INFO [2024-08-09 10:02:54] [NODES] - Adding OC-NZL node...
INFO [2024-08-09 10:02:56] [NODES] - Adding OC-PNG node...
INFO [2024-08-09 10:02:58] [NODES] - Adding NA-CAN-AB node...
INFO [2024-08-09 10:03:00] [NODES] - Adding NA-CAN-AR node...
INFO [2024-08-09 10:03:02] [NODES] - Adding NA-CAN-BC node...
INFO [2024-08-09 10:03:05] [NODES] - Adding NA-CAN-MB node...
INFO [2024-08-09 10:03:07] [NODES] - Adding NA-CAN-NL node...
INFO [2024-08-09 10:03:09] [NODES] - Adding NA-CAN-NO node...
INFO [2024-08-09 10:03:11] [NODES] - Adding NA-CAN-ON node...
INFO [2024-08-09 10:03:13] [NODES] - Adding NA-CAN-QC node...
INFO [2024-08-09 10:03:15] [NODES] - Adding NA-CAN-SK node...
INFO [2024-08-09 10:03:18] [NODES] - Adding NA-CRI node...
INFO [2024-08-09 10:03:20] [NODES] - Adding NA-CUB node...
INFO [2024-08-09 10:03:22] [NODES] - Adding NA-DOM node...
INFO [2024-08-09 10:03:24] [NODES] - Adding NA-GTM node...
INFO [2024-08-09 10:03:26] [NODES] - Adding NA-HND node...
INFO [2024-08-09 10:03:28] [NODES] - Adding NA-JAM node...
INFO [2024-08-09 10:03:30] [NODES] - Adding NA-MEX node...
INFO [2024-08-09 10:03:33] [NODES] - Adding NA-NIC node...
INFO [2024-08-09 10:03:35] [NODES] - Adding NA-PAN node...
INFO [2024-08-09 10:03:37] [NODES] - Adding NA-SLV node...
INFO [2024-08-09 10:03:39] [NODES] - Adding NA-TTO node...
INFO [2024-08-09 10:03:41] [NODES] - Adding NA-USA-AK node...
INFO [2024-08-09 10:03:43] [NODES] - Adding NA-USA-AZ node...
INFO [2024-08-09 10:03:45] [NODES] - Adding NA-USA-CA node...
INFO [2024-08-09 10:03:47] [NODES] - Adding NA-USA-ER node...
INFO [2024-08-09 10:03:49] [NODES] - Adding NA-USA-FR node...
INFO [2024-08-09 10:03:51] [NODES] - Adding NA-USA-GU node...
INFO [2024-08-09 10:03:53] [NODES] - Adding NA-USA-HA node...
INFO [2024-08-09 10:03:54] [NODES] - Adding NA-USA-ME node...
INFO [2024-08-09 10:03:55] [NODES] - Adding NA-USA-MW node...
INFO [2024-08-09 10:03:57] [NODES] - Adding NA-USA-NE node...
INFO [2024-08-09 10:03:58] [NODES] - Adding NA-USA-NW node...
INFO [2024-08-09 10:04:00] [NODES] - Adding NA-USA-NY node...
INFO [2024-08-09 10:04:02] [NODES] - Adding NA-USA-PR node...
INFO [2024-08-09 10:04:04] [NODES] - Adding NA-USA-RA node...
INFO [2024-08-09 10:04:06] [NODES] - Adding NA-USA-RE node...
INFO [2024-08-09 10:04:08] [NODES] - Adding NA-USA-RM node...
INFO [2024-08-09 10:04:09] [NODES] - Adding NA-USA-RW node...
INFO [2024-08-09 10:04:11] [NODES] - Adding NA-USA-SA node...
INFO [2024-08-09 10:04:13] [NODES] - Adding NA-USA-SC node...
INFO [2024-08-09 10:04:14] [NODES] - Adding NA-USA-SE node...
INFO [2024-08-09 10:04:16] [NODES] - Adding NA-USA-SN node...
INFO [2024-08-09 10:04:17] [NODES] - Adding NA-USA-SS node...
INFO [2024-08-09 10:04:19] [NODES] - Adding NA-USA-SV node...
INFO [2024-08-09 10:04:20] [NODES] - Adding NA-USA-SW node...
INFO [2024-08-09 10:04:22] [NODES] - Adding SA-ARG node...
INFO [2024-08-09 10:04:24] [NODES] - Adding SA-BOL node...
INFO [2024-08-09 10:04:31] [NODES] - Adding SA-BRA-CN node...
INFO [2024-08-09 10:04:32] [NODES] - Adding SA-BRA-CW node...
INFO [2024-08-09 10:04:34] [NODES] - Adding SA-BRA-J1 node...
INFO [2024-08-09 10:04:36] [NODES] - Adding SA-BRA-J2 node...
INFO [2024-08-09 10:04:38] [NODES] - Adding SA-BRA-J3 node...
INFO [2024-08-09 10:04:39] [NODES] - Adding SA-BRA-NE node...
INFO [2024-08-09 10:04:41] [NODES] - Adding SA-BRA-NW node...
INFO [2024-08-09 10:04:43] [NODES] - Adding SA-BRA-SE node...
INFO [2024-08-09 10:04:45] [NODES] - Adding SA-BRA-SO node...
INFO [2024-08-09 10:04:46] [NODES] - Adding SA-BRA-WE node...
INFO [2024-08-09 10:04:48] [NODES] - Adding SA-CHL node...
INFO [2024-08-09 10:04:50] [NODES] - Adding SA-COL node...
INFO [2024-08-09 10:04:52] [NODES] - Adding SA-ECU node...
INFO [2024-08-09 10:04:53] [NODES] - Adding SA-GUF node...
INFO [2024-08-09 10:04:55] [NODES] - Adding SA-GUY node...
INFO [2024-08-09 10:04:57] [NODES] - Adding SA-PER node...
INFO [2024-08-09 10:04:58] [NODES] - Adding SA-PRY node...
INFO [2024-08-09 10:05:06] [NODES] - Adding SA-URY node...
INFO [2024-08-09 10:05:08] [NODES] - Adding SA-VEN node...
INFO [2024-08-09 10:05:10] [MAIN] - Done adding nodes! (run time : 317.66s).

INFO [2024-08-09 10:05:10] [MAIN] - Adding load data...

INFO [2024-08-09 10:05:12] [LOAD] - Adding AF-AGO load data...
INFO [2024-08-09 10:05:14] [LOAD] - Adding AF-BDI load data...
INFO [2024-08-09 10:05:15] [LOAD] - Adding AF-BEN load data...
INFO [2024-08-09 10:05:17] [LOAD] - Adding AF-BFA load data...
INFO [2024-08-09 10:05:18] [LOAD] - Adding AF-BWA load data...
INFO [2024-08-09 10:05:19] [LOAD] - Adding AF-CAF load data...
INFO [2024-08-09 10:05:21] [LOAD] - Adding AF-CIV load data...
INFO [2024-08-09 10:05:22] [LOAD] - Adding AF-CMR load data...
INFO [2024-08-09 10:05:23] [LOAD] - Adding AF-COD load data...
INFO [2024-08-09 10:05:25] [LOAD] - Adding AF-COG load data...
INFO [2024-08-09 10:05:26] [LOAD] - Adding AF-CPV load data...
INFO [2024-08-09 10:05:28] [LOAD] - Adding AF-DJI load data...
INFO [2024-08-09 10:05:29] [LOAD] - Adding AF-DZA load data...
INFO [2024-08-09 10:05:30] [LOAD] - Adding AF-EGY load data...
INFO [2024-08-09 10:05:32] [LOAD] - Adding AF-ERI load data...
INFO [2024-08-09 10:05:33] [LOAD] - Adding AF-ESH load data...
INFO [2024-08-09 10:05:35] [LOAD] - Adding AF-ETH load data...
INFO [2024-08-09 10:05:36] [LOAD] - Adding AF-GAB load data...
INFO [2024-08-09 10:05:37] [LOAD] - Adding AF-GHA load data...
INFO [2024-08-09 10:05:38] [LOAD] - Adding AF-GIN load data...
INFO [2024-08-09 10:05:39] [LOAD] - Adding AF-GMB load data...
INFO [2024-08-09 10:05:41] [LOAD] - Adding AF-GNB load data...
INFO [2024-08-09 10:05:42] [LOAD] - Adding AF-GNQ load data...
INFO [2024-08-09 10:05:43] [LOAD] - Adding AF-KEN load data...
INFO [2024-08-09 10:05:44] [LOAD] - Adding AF-LBR load data...
INFO [2024-08-09 10:05:45] [LOAD] - Adding AF-LBY load data...
INFO [2024-08-09 10:05:47] [LOAD] - Adding AF-LSO load data...
INFO [2024-08-09 10:05:48] [LOAD] - Adding AF-MAR load data...
INFO [2024-08-09 10:05:49] [LOAD] - Adding AF-MDG load data...
INFO [2024-08-09 10:05:51] [LOAD] - Adding AF-MLI load data...
INFO [2024-08-09 10:05:53] [LOAD] - Adding AF-MOZ load data...
INFO [2024-08-09 10:05:54] [LOAD] - Adding AF-MRT load data...
INFO [2024-08-09 10:05:55] [LOAD] - Adding AF-MUS load data...
INFO [2024-08-09 10:05:56] [LOAD] - Adding AF-MWI load data...
INFO [2024-08-09 10:05:57] [LOAD] - Adding AF-NAM load data...
INFO [2024-08-09 10:05:58] [LOAD] - Adding AF-NER load data...
INFO [2024-08-09 10:06:00] [LOAD] - Adding AF-NGA load data...
INFO [2024-08-09 10:06:02] [LOAD] - Adding AF-RWA load data...
INFO [2024-08-09 10:06:03] [LOAD] - Adding AF-SDN load data...
INFO [2024-08-09 10:06:04] [LOAD] - Adding AF-SEN load data...
INFO [2024-08-09 10:06:05] [LOAD] - Adding AF-SLE load data...
INFO [2024-08-09 10:06:07] [LOAD] - Adding AF-SWZ load data...
INFO [2024-08-09 10:06:08] [LOAD] - Adding AF-TGO load data...
INFO [2024-08-09 10:06:09] [LOAD] - Adding AF-TUN load data...
INFO [2024-08-09 10:06:10] [LOAD] - Adding AF-TZA load data...
INFO [2024-08-09 10:06:12] [LOAD] - Adding AF-UGA load data...
INFO [2024-08-09 10:06:13] [LOAD] - Adding AF-ZAF load data...
INFO [2024-08-09 10:06:14] [LOAD] - Adding AF-ZMB load data...
INFO [2024-08-09 10:06:15] [LOAD] - Adding AF-ZWE load data...
INFO [2024-08-09 10:06:16] [LOAD] - Adding AS-AFG load data...
INFO [2024-08-09 10:06:18] [LOAD] - Adding AS-ARE load data...
INFO [2024-08-09 10:06:19] [LOAD] - Adding AS-BGD load data...
INFO [2024-08-09 10:06:21] [LOAD] - Adding AS-BHR load data...
INFO [2024-08-09 10:06:23] [LOAD] - Adding AS-BRN load data...
INFO [2024-08-09 10:06:25] [LOAD] - Adding AS-BTN load data...
INFO [2024-08-09 10:06:26] [LOAD] - Adding AS-CHN-AN load data...
INFO [2024-08-09 10:06:27] [LOAD] - Adding AS-CHN-BE load data...
INFO [2024-08-09 10:06:29] [LOAD] - Adding AS-CHN-CH load data...
INFO [2024-08-09 10:06:30] [LOAD] - Adding AS-CHN-EM load data...
INFO [2024-08-09 10:06:31] [LOAD] - Adding AS-CHN-FU load data...
INFO [2024-08-09 10:06:32] [LOAD] - Adding AS-CHN-GA load data...
INFO [2024-08-09 10:06:33] [LOAD] - Adding AS-CHN-GD load data...
INFO [2024-08-09 10:06:34] [LOAD] - Adding AS-CHN-GU load data...
INFO [2024-08-09 10:06:35] [LOAD] - Adding AS-CHN-GX load data...
INFO [2024-08-09 10:06:36] [LOAD] - Adding AS-CHN-HA load data...
INFO [2024-08-09 10:06:37] [LOAD] - Adding AS-CHN-HB load data...
INFO [2024-08-09 10:06:38] [LOAD] - Adding AS-CHN-HE load data...
INFO [2024-08-09 10:06:39] [LOAD] - Adding AS-CHN-HJ load data...
INFO [2024-08-09 10:06:40] [LOAD] - Adding AS-CHN-HK load data...
