INFO [2024-08-14 16:30:58] [NODES] - Adding AS-CHN-WM node...
INFO [2024-08-14 16:30:59] [NODES] - Adding AS-CHN-XI node...
INFO [2024-08-14 16:31:00] [NODES] - Adding AS-CHN-YU node...
INFO [2024-08-14 16:31:01] [NODES] - Adding AS-CHN-ZH node...
INFO [2024-08-14 16:31:02] [NODES] - Adding AS-IDN node...
INFO [2024-08-14 16:31:03] [NODES] - Adding AS-IND-EA node...
INFO [2024-08-14 16:31:04] [NODES] - Adding AS-IND-NE node...
INFO [2024-08-14 16:31:05] [NODES] - Adding AS-IND-NO node...
INFO [2024-08-14 16:31:06] [NODES] - Adding AS-IND-SO node...
INFO [2024-08-14 16:31:07] [NODES] - Adding AS-IND-WE node...
INFO [2024-08-14 16:31:08] [NODES] - Adding AS-IRN node...
INFO [2024-08-14 16:31:09] [NODES] - Adding AS-IRQ node...
INFO [2024-08-14 16:31:10] [NODES] - Adding AS-ISR node...
INFO [2024-08-14 16:31:11] [NODES] - Adding AS-JOR node...
INFO [2024-08-14 16:31:12] [NODES] - Adding AS-JPN-CE node...
INFO [2024-08-14 16:31:13] [NODES] - Adding AS-JPN-HO node...
INFO [2024-08-14 16:31:14] [NODES] - Adding AS-JPN-KY node...
INFO [2024-08-14 16:31:14] [NODES] - Adding AS-JPN-OK node...
INFO [2024-08-14 16:31:15] [NODES] - Adding AS-JPN-SH node...
INFO [2024-08-14 16:31:16] [NODES] - Adding AS-JPN-TO node...
INFO [2024-08-14 16:31:16] [NODES] - Adding AS-KAZ node...
INFO [2024-08-14 16:31:17] [NODES] - Adding AS-KGZ node...
INFO [2024-08-14 16:31:18] [NODES] - Adding AS-KHM node...
INFO [2024-08-14 16:31:19] [NODES] - Adding AS-KOR node...
INFO [2024-08-14 16:31:19] [NODES] - Adding AS-KWT node...
INFO [2024-08-14 16:31:20] [NODES] - Adding AS-LAO node...
INFO [2024-08-14 16:31:21] [NODES] - Adding AS-LBN node...
INFO [2024-08-14 16:31:22] [NODES] - Adding AS-LKA node...
INFO [2024-08-14 16:31:23] [NODES] - Adding AS-MMR node...
INFO [2024-08-14 16:31:23] [NODES] - Adding AS-MNG node...
INFO [2024-08-14 16:31:24] [NODES] - Adding AS-MYS node...
INFO [2024-08-14 16:31:25] [NODES] - Adding AS-NPL node...
INFO [2024-08-14 16:31:26] [NODES] - Adding AS-OMN node...
INFO [2024-08-14 16:31:27] [NODES] - Adding AS-PAK node...
INFO [2024-08-14 16:31:27] [NODES] - Adding AS-PHL node...
INFO [2024-08-14 16:31:28] [NODES] - Adding AS-PRK node...
INFO [2024-08-14 16:31:29] [NODES] - Adding AS-QAT node...
INFO [2024-08-14 16:31:30] [NODES] - Adding AS-RUS-CE node...
INFO [2024-08-14 16:31:31] [NODES] - Adding AS-RUS-FE node...
INFO [2024-08-14 16:31:32] [NODES] - Adding AS-RUS-MV node...
INFO [2024-08-14 16:31:33] [NODES] - Adding AS-RUS-NW node...
INFO [2024-08-14 16:31:34] [NODES] - Adding AS-RUS-SI node...
INFO [2024-08-14 16:31:35] [NODES] - Adding AS-RUS-SO node...
INFO [2024-08-14 16:31:36] [NODES] - Adding AS-RUS-UR node...
INFO [2024-08-14 16:31:37] [NODES] - Adding AS-SAU node...
INFO [2024-08-14 16:31:37] [NODES] - Adding AS-SGP node...
INFO [2024-08-14 16:31:39] [NODES] - Adding AS-SYR node...
INFO [2024-08-14 16:31:40] [NODES] - Adding AS-THA node...
INFO [2024-08-14 16:31:42] [NODES] - Adding AS-TJK node...
INFO [2024-08-14 16:31:43] [NODES] - Adding AS-TKM node...
INFO [2024-08-14 16:31:44] [NODES] - Adding AS-TUR node...
INFO [2024-08-14 16:31:45] [NODES] - Adding AS-TWN node...
INFO [2024-08-14 16:31:47] [NODES] - Adding AS-UZB node...
INFO [2024-08-14 16:31:48] [NODES] - Adding AS-VNM node...
INFO [2024-08-14 16:31:49] [NODES] - Adding AS-YEM node...
INFO [2024-08-14 16:31:51] [NODES] - Adding EU-ALB node...
INFO [2024-08-14 16:31:52] [NODES] - Adding EU-ARM node...
INFO [2024-08-14 16:31:53] [NODES] - Adding EU-AUT node...
INFO [2024-08-14 16:31:54] [NODES] - Adding EU-AZE node...
INFO [2024-08-14 16:31:55] [NODES] - Adding EU-BEL node...
INFO [2024-08-14 16:31:57] [NODES] - Adding EU-BGR node...
INFO [2024-08-14 16:31:58] [NODES] - Adding EU-BIH node...
INFO [2024-08-14 16:32:00] [NODES] - Adding EU-BLR node...
INFO [2024-08-14 16:32:02] [NODES] - Adding EU-CHE node...
INFO [2024-08-14 16:32:03] [NODES] - Adding EU-CYP node...
INFO [2024-08-14 16:32:04] [NODES] - Adding EU-CZE node...
INFO [2024-08-14 16:32:06] [NODES] - Adding EU-DEU node...
INFO [2024-08-14 16:32:08] [NODES] - Adding EU-DNK node...
INFO [2024-08-14 16:32:09] [NODES] - Adding EU-ESP node...
INFO [2024-08-14 16:32:10] [NODES] - Adding EU-EST node...
INFO [2024-08-14 16:32:11] [NODES] - Adding EU-FIN node...
INFO [2024-08-14 16:32:13] [NODES] - Adding EU-FRA node...
INFO [2024-08-14 16:32:14] [NODES] - Adding EU-GBR node...
