INFO [2024-09-04 16:39:13] [NODES] - Adding AS-CHN-WM node...
INFO [2024-09-04 16:39:14] [NODES] - Adding AS-CHN-XI node...
INFO [2024-09-04 16:39:16] [NODES] - Adding AS-CHN-YU node...
INFO [2024-09-04 16:39:17] [NODES] - Adding AS-CHN-ZH node...
INFO [2024-09-04 16:39:19] [NODES] - Adding AS-IDN node...
INFO [2024-09-04 16:39:21] [NODES] - Adding AS-IND-EA node...
INFO [2024-09-04 16:39:25] [NODES] - Adding AS-IND-NE node...
INFO [2024-09-04 16:39:28] [NODES] - Adding AS-IND-NO node...
INFO [2024-09-04 16:39:30] [NODES] - Adding AS-IND-SO node...
INFO [2024-09-04 16:39:32] [NODES] - Adding AS-IND-WE node...
INFO [2024-09-04 16:39:34] [NODES] - Adding AS-IRN node...
INFO [2024-09-04 16:39:35] [NODES] - Adding AS-IRQ node...
INFO [2024-09-04 16:39:37] [NODES] - Adding AS-ISR node...
INFO [2024-09-04 16:39:38] [NODES] - Adding AS-JOR node...
INFO [2024-09-04 16:39:40] [NODES] - Adding AS-JPN-CE node...
INFO [2024-09-04 16:39:41] [NODES] - Adding AS-JPN-HO node...
INFO [2024-09-04 16:39:42] [NODES] - Adding AS-JPN-KY node...
INFO [2024-09-04 16:39:44] [NODES] - Adding AS-JPN-OK node...
INFO [2024-09-04 16:39:46] [NODES] - Adding AS-JPN-SH node...
INFO [2024-09-04 16:39:47] [NODES] - Adding AS-JPN-TO node...
INFO [2024-09-04 16:39:49] [NODES] - Adding AS-KAZ node...
INFO [2024-09-04 16:39:50] [NODES] - Adding AS-KGZ node...
INFO [2024-09-04 16:39:52] [NODES] - Adding AS-KHM node...
INFO [2024-09-04 16:39:54] [NODES] - Adding AS-KOR node...
INFO [2024-09-04 16:39:55] [NODES] - Adding AS-KWT node...
INFO [2024-09-04 16:39:57] [NODES] - Adding AS-LAO node...
INFO [2024-09-04 16:39:58] [NODES] - Adding AS-LBN node...
INFO [2024-09-04 16:40:00] [NODES] - Adding AS-LKA node...
INFO [2024-09-04 16:40:01] [NODES] - Adding AS-MMR node...
INFO [2024-09-04 16:40:03] [NODES] - Adding AS-MNG node...
INFO [2024-09-04 16:40:05] [NODES] - Adding AS-MYS node...
INFO [2024-09-04 16:40:06] [NODES] - Adding AS-NPL node...
INFO [2024-09-04 16:40:08] [NODES] - Adding AS-OMN node...
INFO [2024-09-04 16:40:09] [NODES] - Adding AS-PAK node...
INFO [2024-09-04 16:40:11] [NODES] - Adding AS-PHL node...
INFO [2024-09-04 16:40:13] [NODES] - Adding AS-PRK node...
INFO [2024-09-04 16:40:14] [NODES] - Adding AS-QAT node...
INFO [2024-09-04 16:40:16] [NODES] - Adding AS-RUS-CE node...
INFO [2024-09-04 16:40:17] [NODES] - Adding AS-RUS-FE node...
INFO [2024-09-04 16:40:19] [NODES] - Adding AS-RUS-MV node...
INFO [2024-09-04 16:40:21] [NODES] - Adding AS-RUS-NW node...
INFO [2024-09-04 16:40:23] [NODES] - Adding AS-RUS-SI node...
INFO [2024-09-04 16:40:25] [NODES] - Adding AS-RUS-SO node...
INFO [2024-09-04 16:40:26] [NODES] - Adding AS-RUS-UR node...
INFO [2024-09-04 16:40:28] [NODES] - Adding AS-SAU node...
INFO [2024-09-04 16:40:30] [NODES] - Adding AS-SGP node...
INFO [2024-09-04 16:40:32] [NODES] - Adding AS-SYR node...
INFO [2024-09-04 16:40:33] [NODES] - Adding AS-THA node...
INFO [2024-09-04 16:40:35] [NODES] - Adding AS-TJK node...
INFO [2024-09-04 16:40:37] [NODES] - Adding AS-TKM node...
INFO [2024-09-04 16:40:38] [NODES] - Adding AS-TUR node...
INFO [2024-09-04 16:40:40] [NODES] - Adding AS-TWN node...
INFO [2024-09-04 16:40:42] [NODES] - Adding AS-UZB node...
INFO [2024-09-04 16:40:44] [NODES] - Adding AS-VNM node...
INFO [2024-09-04 16:40:46] [NODES] - Adding AS-YEM node...
INFO [2024-09-04 16:40:47] [NODES] - Adding EU-ALB node...
INFO [2024-09-04 16:40:49] [NODES] - Adding EU-ARM node...
INFO [2024-09-04 16:40:51] [NODES] - Adding EU-AUT node...
INFO [2024-09-04 16:40:53] [NODES] - Adding EU-AZE node...
INFO [2024-09-04 16:40:55] [NODES] - Adding EU-BEL node...
INFO [2024-09-04 16:40:56] [NODES] - Adding EU-BGR node...
INFO [2024-09-04 16:40:58] [NODES] - Adding EU-BIH node...
INFO [2024-09-04 16:41:00] [NODES] - Adding EU-BLR node...
INFO [2024-09-04 16:41:02] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 16:41:04] [NODES] - Adding EU-CYP node...
INFO [2024-09-04 16:41:06] [NODES] - Adding EU-CZE node...
INFO [2024-09-04 16:41:08] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 16:41:09] [NODES] - Adding EU-DNK node...
INFO [2024-09-04 16:41:11] [NODES] - Adding EU-ESP node...
INFO [2024-09-04 16:41:13] [NODES] - Adding EU-EST node...
INFO [2024-09-04 16:41:15] [NODES] - Adding EU-FIN node...
INFO [2024-09-04 16:41:18] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 16:41:20] [NODES] - Adding EU-GBR node...
INFO [2024-09-04 16:41:22] [NODES] - Adding EU-GEO node...
INFO [2024-09-04 16:41:24] [NODES] - Adding EU-GRC node...
INFO [2024-09-04 16:41:26] [NODES] - Adding EU-HRV node...
INFO [2024-09-04 16:41:28] [NODES] - Adding EU-HUN node...
INFO [2024-09-04 16:41:30] [NODES] - Adding EU-IRL node...
INFO [2024-09-04 16:41:32] [NODES] - Adding EU-ISL node...
INFO [2024-09-04 16:41:34] [NODES] - Adding EU-ITA node...
INFO [2024-09-04 16:41:36] [NODES] - Adding EU-KOS node...
INFO [2024-09-04 16:41:38] [NODES] - Adding EU-LTU node...
INFO [2024-09-04 16:41:40] [NODES] - Adding EU-LUX node...
INFO [2024-09-04 16:41:42] [NODES] - Adding EU-LVA node...
INFO [2024-09-04 16:41:45] [NODES] - Adding EU-MDA node...
INFO [2024-09-04 16:41:47] [NODES] - Adding EU-MKD node...
INFO [2024-09-04 16:41:49] [NODES] - Adding EU-MNE node...
INFO [2024-09-04 16:41:51] [NODES] - Adding EU-NLD node...
INFO [2024-09-04 16:41:53] [NODES] - Adding EU-NOR node...
INFO [2024-09-04 16:41:55] [NODES] - Adding EU-POL node...
INFO [2024-09-04 16:41:57] [NODES] - Adding EU-PRT node...
INFO [2024-09-04 16:41:59] [NODES] - Adding EU-ROU node...
INFO [2024-09-04 16:42:01] [NODES] - Adding EU-SRB node...
INFO [2024-09-04 16:42:04] [NODES] - Adding EU-SVK node...
INFO [2024-09-04 16:42:06] [NODES] - Adding EU-SVN node...
INFO [2024-09-04 16:42:08] [NODES] - Adding EU-SWE node...
INFO [2024-09-04 16:42:10] [NODES] - Adding EU-UKR node...
INFO [2024-09-04 16:42:12] [NODES] - Adding OC-ATA node...
INFO [2024-09-04 16:42:15] [NODES] - Adding OC-AUS-NT node...
INFO [2024-09-04 16:42:17] [NODES] - Adding OC-AUS-QL node...
INFO [2024-09-04 16:42:19] [NODES] - Adding OC-AUS-SA node...
INFO [2024-09-04 16:42:21] [NODES] - Adding OC-AUS-SW node...
INFO [2024-09-04 16:42:24] [NODES] - Adding OC-AUS-TA node...
INFO [2024-09-04 16:42:26] [NODES] - Adding OC-AUS-VI node...
INFO [2024-09-04 16:42:28] [NODES] - Adding OC-AUS-WA node...
INFO [2024-09-04 16:42:31] [NODES] - Adding OC-FJI node...
INFO [2024-09-04 16:42:34] [NODES] - Adding OC-NZL node...
INFO [2024-09-04 16:42:37] [NODES] - Adding OC-PNG node...
INFO [2024-09-04 16:42:39] [NODES] - Adding NA-CAN-AB node...
INFO [2024-09-04 16:42:41] [NODES] - Adding NA-CAN-AR node...
INFO [2024-09-04 16:42:44] [NODES] - Adding NA-CAN-BC node...
INFO [2024-09-04 16:42:46] [NODES] - Adding NA-CAN-MB node...
INFO [2024-09-04 16:42:49] [NODES] - Adding NA-CAN-NL node...
INFO [2024-09-04 16:42:51] [NODES] - Adding NA-CAN-NO node...
INFO [2024-09-04 16:42:54] [NODES] - Adding NA-CAN-ON node...
INFO [2024-09-04 16:42:56] [NODES] - Adding NA-CAN-QC node...
