INFO [2024-09-04 10:06:31] [MAIN] - Creating v2_test__2024_09_04_10_06_31 study...

INFO [2024-09-04 10:06:31] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-04 10:06:31] [MAIN] - Adding nodes...

INFO [2024-09-04 10:06:32] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 10:06:32] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 10:06:32] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 10:06:32] [MAIN] - Done adding nodes! (run time : 1.47s).

INFO [2024-09-04 10:06:32] [MAIN] - Adding districts...

INFO [2024-09-04 10:06:33] [DISTRICTS] - Creating global district...
INFO [2024-09-04 10:06:33] [DISTRICTS] - Done creating global district!
INFO [2024-09-04 10:06:33] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-04 10:06:33] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-04 10:06:33] [MAIN] - Done adding districts! (run time : 0.72s).

INFO [2024-09-04 10:06:33] [MAIN] - Adding load data...

INFO [2024-09-04 10:06:34] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-04 10:06:34] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-04 10:06:34] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-04 10:06:34] [MAIN] - Done adding load data! (run time : 0.77s).

INFO [2024-09-04 10:06:34] [MAIN] - Fetching wind data...

INFO [2024-09-04 10:06:34] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-04 10:06:34] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-04 10:06:34] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-04 10:06:34] [MAIN] - Done adding wind data! (run time : 0.22s).

INFO [2024-09-04 10:06:34] [MAIN] - Fetching solar data...

INFO [2024-09-04 10:06:34] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-04 10:06:34] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-04 10:06:34] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-04 10:06:34] [MAIN] - Done adding solar data! (run time : 0.19s).

INFO [2024-09-04 10:06:34] [MAIN] - Fetching battery data...

INFO [2024-09-04 10:06:35] [MAIN] - Aggregating identical batteries...
INFO [2024-09-04 10:06:35] [MAIN] - Running 10-clustering algorithm on batteries...
INFO [2024-09-04 10:06:35] [MAIN] - Done running 10-clustering algorithm on batteries!

INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_CHE_SwissDualCircui104 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_CHE_LausannePolytec102 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_CHE_50kW60kWhEnergy99_Passivhaus50kW1103 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_CHE_CKWESpeicherWer100 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_CHE_EPFLLeclancheDi101 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_CHE_TheZurichDietik105 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_PHS_EmossonPumpedHy106 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_PHS_OvaSpinPumpedHy119_GougraPumpedHyd109 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_PHS_Handeck3PumpedH112_TierfehdNestilP121 battery to EU-CHE node...
INFO [2024-09-04 10:06:35] [STORAGE] - Adding CHE_PHS_RobieiPumpedHyd120_HongrinLemanPum113_MapraggPumpedH battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding CHE_PHS_EtzelwerkPumped107_Grimsel2PumpedH110 battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding CHE_PHS_FerreraPumpedHy108 battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding CHE_PHS_VeytauxFMHLPump122 battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding CHE_PHS_Grimsel3PumpedH111 battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding CHE_PHS_NantdeDrancePum118_LagoBiancoPumpe114_Linthal2015Lin battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding CHE_PHS_LinthLimmernPum116 battery to EU-CHE node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding DEU_CHE_QinousDemonstra255 battery to EU-DEU node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding DEU_CHE_CatervaSWARM237_BoschBraderupES236_DREWAGReick2MWP24 battery to EU-DEU node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding DEU_CHE_SwagBoschCommun263_CustomerProject239_FastChargingeB battery to EU-DEU node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding DEU_CHE_YounicosandVatt266_EEBattEnergyNei244_250kW1MWhElChe battery to EU-DEU node...
INFO [2024-09-04 10:06:36] [STORAGE] - Adding DEU_CHE_IntelligentesNe252_BatteryEnergySt232_Netlab2Sonderb battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_FeldheimRegiona248 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_IHEMIntelligent251 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_Web2EnergySmart264 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_WEMAGSchwerinBa265 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_SmartRegionPell262 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_BoschBraderupES235 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_BESSNeuhardenbe234 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_RedoxWindTheFra256_Drverden3MWBatt243 battery to EU-DEU node...
INFO [2024-09-04 10:06:37] [STORAGE] - Adding DEU_CHE_Daimler2ndLifeS240 battery to EU-DEU node...
INFO [2024-09-04 10:06:38] [STORAGE] - Adding DEU_CHE_GermanyResident249 battery to EU-DEU node...
INFO [2024-09-04 10:06:38] [STORAGE] - Adding DEU_CHE_10kW100kWhHaakF228_CellcubeWilliba238 battery to EU-DEU node...
INFO [2024-09-04 10:06:38] [STORAGE] - Adding DEU_CHE_DMGGildemeister241 battery to EU-DEU node...
INFO [2024-09-04 10:06:38] [STORAGE] - Adding DEU_CHE_1MWLESSYVolklin230 battery to EU-DEU node...
INFO [2024-09-04 10:06:38] [STORAGE] - Adding DEU_CHE_SmartRegionPell261 battery to EU-DEU node...
